INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
A229D475 ,50016427,1,,A276X71 ,50073600,7
A229JA35 ,50013929,3,,A278DA35 ,50165760,48
A229R48 ,50011303,9,,A278D475 ,50016567,1
A229URD475U ,50395896,3,,A278J50 ,95201273,5
A232JR38B ,50022821,6,,A282X71WD ,50073642,4
A234JR38B ,50022854,4,,A286JA45 ,50015627,2
A237JR38 ,,4,,A288JB5 ,50009125,17
A237JR38C ,50171628,2,,A288S49 ,,1
A237R38 ,50047240,3,,A289JA55 ,,2
A238JR38B ,50023530,10,,A289X59 ,,1
A239JR38B ,50023555,3,,A290JA55 ,50008804,6
A239R38A ,50774819,4,,A298DHD275 ,50160969,1
A241JR38B ,50024603,9,,A298JB5 ,50009166,35
A243JR38B ,50024637,1,,A298S49 ,,3
A244JR38 ,50019074,3,,A308JA45 ,50015684,65
A245JR38C ,50170224,6,,A31PF2 ,50187012,40
A245R38A ,50073121,23,,A31PF3 ,50185347,3
A254CM ,50121144,13,,A31PF4 ,50184365,4
A258JB4 ,50000124,2,,A31RDC200 ,50023910,1
A260DHD275 ,50160894,1,,A31RDC25 ,,1
A260DHD325A ,50154632,1,,A311R58 ,50068998,27
A260J10A ,50009737,1,,A314JA55 ,,1
A260RP38E ,50007525,52,,A315LPF ,50251040,2
A261JA35 ,50013944,1,,A315URD475 ,50210566,10
A261JR38 ,50019959,10,,A32PF2 ,,1
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,3,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
A324LPF ,50250943,10,,A429URD475 ,50247485,1
A325JR38B ,50176981,99,,A43722R278 ,50470707,4
A325LPF ,50250796,2,,A447HBEH ,50042803,1
A325R38A ,50073154,55,,A454URD475 ,50207463,4
A325R58 ,50069004,50,,A454URD550 ,50365253,4
A327R38 ,50048834,4,,A455URD475 ,50207489,1
A327R58 ,,1,,A46FM2 ,,2
A329JR38 ,50019181,1,,A46JHM ,50034909,2
A329JR38B ,50177021,18,,A468CC60 ,50022458,42
A33PF2 ,50187046,4,,A468CC80 ,,28
A330JR38B ,50177047,3,,A477HBEH ,,1
A3332661P16 ,50440940,1,,A482JR38 ,,2
A344S68 ,50173814,7,,A49D40 ,50000181,2
A346JR38C ,50170273,12,,A49JA35 ,,2
A372HBCR ,50154921,1,,A49JA45 ,,1
A375RP38 ,50014117,49,,A49JA55 ,,1
A375R58 ,50069053,6,,A49J15 ,50010453,3
A379CC80 ,,1,,A49J40 ,50003045,4
A379PB8A ,50008218,34,,A49URD475 ,50247477,1
A387PB6 ,50013564,9,,A49X71WD ,50046002,1
A390PB59 ,50152271,2,,A493HBC ,50194794,5
A394HBD ,,1,,A50DB30 ,,1
A4IR016F ,50208438,61,,A50DHD275 ,50162460,2
A4JR300 ,50313139,6,,A50JA45 ,50014562,6
A40PF4 ,50184407,1,,A50JA55 ,50008606,20
A401HBD ,50196740,13,,A50JB4 ,50014562,2
A403HBD ,50196757,2,,A50JR38C ,50172766,79
A404HBC ,50196781,22,,A50J30 ,50011097,14
A407HBEH ,50196799,3,,A50RP38E ,50016179,43
A407HHB ,50244417,1,,A50R38 ,,9
A41FM4 ,50304302,1,,A50R38A ,50075480,27
A418CC60 ,50022433,2,,A50S68 ,,2
A418CC80 ,50023209,2,,A503HBD ,50134998,5
A418PB6 ,50013606,5,,A51DA30 ,50221969,6
A419PB6 ,50221787,1,,A51DB35 ,,1
A429DA30 ,50056324,9,,A51J50 ,50221985,3
A429DA35 ,50165802,8,,A51N70 ,,2
A429D45 ,50015742,1,,A51N75 ,,2
A429D475 ,50304344,1,,A51S49 ,,2
A429L74 ,,4,,A521HBD ,50194885,12
A429N75 ,,1,,A522HBD ,50039692,7
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,4,
INGERSOLL RAND DRILL PARTS WITH OLD & NEW PARTS NUMBERS ,,,,,,
Old Part Number,New Part Number,Qty,,Old Part Number,New Part Number,Qty 
A529DA30 ,50056340,8,,A63D45 ,50005487,9
A529DA35 ,,5,,A64DRD ,50174424,4
A529R58 ,50069095,22,,A64J30 ,50011691,3
A53JA45 ,,1,,A64RP38E ,50007467,36
A53JR38B ,50020718,8,,A64R48 ,,7
A53R58 ,50070457,6,,A64SAR85 ,50109008,5
A53SBR85 ,50108398,31,,A65J10 ,50003623,5
A53URD475 ,50202993,7,,A65L29 ,50169440,6
A534HBC ,50156926,1,,A65PB6 ,50001387,2
A539D45 ,50012608,2,,A65RP38E ,50007475,62
A539D475 ,50016716,13,,A65R39 ,50009646,4
A540D475 ,50016732,10,,A65SAR120 ,,1
A547N75 ,,1,,A66D475 ,50006386,2
A557JR38 ,50019223,16,,A66JB4 ,50005651,19
A558JR38B ,50177146,15,,A66JB5 ,50008911,1
A56JA55 ,50008663,13,,A66J10 ,50003649,3
A56R50 ,,2,,A66PB6 ,50222157,1
A56S49 ,,1,,A66RP38E ,50007483,1
A57PB6 ,50001379,1,,A664R58 ,50069152,19
A575URD475 ,50080985,8,,A68JA35 ,50013804,5
A577URD475 ,50205830,3,,A68JB4 ,50005677,1
A58JA45 ,,4,,A68JB5 ,,3
A58PF2 ,,2,,A68JR38 ,,19
A58R39 ,,1,,A68JR38B ,50022052,13
A58S49 ,,1,,A68J10 ,50003664,2
A59DA35 ,,1,,A68R38 ,,2
A59DC35 ,50161165,2,,A68R39 ,,2
A59JR300 ,50313626,2,,A68R48 ,50011162,2
A59JR38 ,,2,,A68R58 ,50070606,1
A59J50A ,50005032,30,,A683D475 ,,2
A59R38A ,,1,,A69D475 ,50006410,19
A49R48 ,50010719,40,,A69D505 ,50304575,22
A597URD475 ,50208644,15,,A69JB4 ,50005693,13
A6DHC125 ,50002492,19,,A69N82 ,,1
A6PF2 ,50188101,4,,A7CC80 ,50022482,1
A60DA30 ,50059021,49,,A7DB35 ,50162783,1
A60F2 ,,2,,A7L54 ,50166784,2
A60JA45 ,50014711,25,,A7PF2 ,,16
A601RP38 ,50015320,6,,A7S49 ,50032499,3
A61D45 ,50005461,77,,A7X71 ,50044676,6
A61S70 ,50173954,15,,A70DA35 ,,2
,"LC VOUGHT INGERSOLL RAND DRILL PARTS, PAGE",,,,5,
