,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
PP211 ,4,,PP562 ,6,,R15252 ,2
PP212 ,11,,PP566 ,1,,R15256A ,4
PP309 ,2,,PP578 ,1,,R16497 ,4
PP311 ,1,,PP579 ,62,,R1766 ,2
PP313 ,11,,PP583 ,2,,R17712 ,99
PP319 ,18,,PP597 ,33,,R18194 ,2
PP321 ,1,,PP598 ,37,,R18844A ,1
PP336 ,6,,PP635 ,1,,R20102 ,5
PP343 ,56,,PP660 ,10,,R20166 ,1
PP362 ,4,,PP664 ,2,,R2153 ,1
PP377 ,6,,PP705 ,52,,R22594 ,4
PP380 ,7,,PP741 ,16,,R234 ,5
PP385 ,24,,PP752 ,10,,R2396E ,1
PP391 ,52,,PP760 ,1,,R26166 ,4
PP393 ,26,,PP761 ,10,,R33936 ,2
PP394 ,4,,PP771 ,1,,R35206 ,22
PP397 ,2,,PP808 ,8,,R36P104 ,6
PP398 ,2,,PP881 ,1,,R36P105A ,3
PP400 ,10,,PP887 ,1,,R37136 ,1
PP401 ,12,,PP96 ,1,,R37138 ,1
PP402 ,2,,PRE1A3/3A/4/5/67,2,,R40621 ,1
PP405 ,2,,PRE1A#60 ,1,,R40622 ,1
PP407 ,4,,PRE1A#87 ,2,,R43816 ,2
PP412 ,6,,PRE1A#91 ,1,,R47245 ,1
PP414 ,4,,P2061 ,4,,R47248 ,4
,"LC VOUGHT INGERSOLL RAND COMPRESSOR PARTS, PAGE 3 ",,,,,,
,INGERSOLL RAND COMPRESSOR PARTS ,,,,,,
Part Number,Qty,,Part Number,Qty,,Part Number,Qty 
R53608T10 ,1,,U571B125K ,2,,W17775 ,1
R55315 ,8,,U5720B ,1,,W20175 ,1
R618 ,5,,W10058P2 ,7,,W21445 ,2
R63136A225 ,1,,W100589 ,6,,W21446 ,2
R656 ,1,,W107269 ,1,,W21447 ,2
R68651 ,2,,W1106 ,3,,W21448 ,2
R9305P1 ,1,,W110897 ,2,,W21479 ,10
SH8511 ,20,,W111331 ,1,,W23646 ,2
SVH ,1,,W112265 ,7,,W23840 ,24
SV142 ,2,,W112265A ,2,,W24059 ,11
SV31 ,1,,W112347P1 ,1,,W24396 ,1
